#{"t_start": 1774783934.0679562, "env_id": "None"}
r,l,t
-4.753913,10,16.508337
1.163408,14,16.536414
-5.061997,11,16.536414
0.318019,12,16.557871
-5.248991,10,16.569826
-7.422033,12,16.569826
1.330457,12,16.586585
-0.666202,14,16.603583
-4.227151,11,16.607651
0.409564,12,16.619724
0.52585,11,16.636276
-4.198979,11,16.636276
1.777035,11,16.657801
1.283027,10,16.669824
-3.830294,11,16.669824
-3.615937,13,16.686307
-10.96183,12,16.70357
1.38288,11,16.70782
-9.209061,10,16.723384
2.438627,13,16.738875
2.452559,13,16.752985
-5.631449,15,16.76964
1.021383,12,16.787486
-4.01774,13,16.800256
-4.385815,12,16.807828
-5.656815,14,16.81971
1.011053,11,16.81971
-8.792938,11,16.836547
-4.349693,10,16.853048
-2.953419,26,16.869837
-6.195453,12,16.886338
-1.262463,12,16.886338
-15.502205,16,16.918696
-3.772506,12,16.919642
-6.58876,10,16.942793
-10.089377,13,16.957854
3.619221,13,16.969718
-3.609486,13,16.986454
-6.682811,12,17.001818
1.268235,12,18.026937
-5.8767,15,18.04833
-4.67036,11,18.069119
-6.464986,9,18.083798
-8.491515,15,18.108436
-0.241313,14,18.131612
-6.181476,11,18.154394
-4.316378,10,18.173968
-0.502156,13,18.192992
3.576679,11,18.209061
3.408313,13,18.219692
-0.259206,11,18.237399
-5.204139,11,18.258116
9.357368,11,18.269696
3.300691,12,18.292892
0.471299,14,18.316235
0.533251,12,18.331091
3.566477,15,18.336506
-7.136749,10,18.357797
4.393905,13,18.378991
-4.437153,12,18.386575
-0.117416,12,18.407683
-5.443619,10,18.419618
1.322952,11,18.436491
-3.498135,12,18.448328
1.387821,13,18.457542
-4.121166,12,18.472828
0.47424,12,18.486506
-5.906982,12,18.51819
-5.689409,10,18.529855
-7.216679,10,18.536293
-7.621912,14,18.557863
3.387366,11,18.575231
-0.299116,15,18.595332
-2.992106,12,18.612109
-6.123243,12,18.630129
-3.806845,11,18.645139
1.538589,10,18.661559
3.431213,11,18.676137
-7.663304,10,18.692144
-5.1512,9,18.704092
1.051218,13,18.719855
-5.168859,11,18.731858
-6.499349,11,18.744867
-12.357973,15,18.759511
0.937516,12,18.771515
-4.972205,12,18.787132
0.721987,13,18.800258
-6.31656,11,18.813024
-4.251361,10,18.824598
-5.46493,11,18.834597
9.838738,11,18.847612
0.584453,14,18.861636
0.864916,13,18.878891
0.921098,12,18.893943
1.82601,14,18.908971
-3.697889,13,18.921525
-0.195018,15,18.938555
-4.156632,12,18.949558
-6.231927,14,18.964231
-2.107641,13,18.977231
0.34181,12,18.991253
1.937803,11,19.000251
-0.19991,11,19.011885
2.907606,12,19.025822
3.546838,11,19.03582
-4.872766,12,19.047836
0.111243,11,19.05989
-0.235797,12,19.072575
-0.273959,17,19.090584
-0.970069,13,19.103092
-0.675606,13,19.118586
-5.079321,13,19.132579
-7.94587,14,19.138589
-5.060628,13,19.158529
-5.053403,13,19.169588
1.213547,10,19.169588
-8.105918,11,19.186174
0.997586,11,19.202874
-6.130154,11,19.207804
1.363465,11,19.219642
-1.587552,11,19.219642
-5.139566,10,19.236195
-4.419425,12,19.252869
1.33574,11,19.25787
-5.710259,11,20.236228
-5.19536,11,20.264654
0.439981,12,20.284796
2.862439,9,20.298848
-5.757011,12,20.317679
-3.985907,12,20.33609
2.979739,13,20.355609
-5.456643,10,20.369612
-5.641912,11,20.385592
-4.797168,9,20.398221
1.778436,11,20.411776
0.234241,11,20.425473
3.553591,12,20.440207
-4.158526,11,20.451552
1.810444,11,20.457929
-8.080636,12,20.469568
3.325654,11,20.485135
-7.226266,12,20.48722
4.964501,14,20.507876
-4.241232,11,20.519505
0.898657,11,20.536142
0.779174,11,20.558141
4.986244,12,20.570883
-0.380075,13,20.586244
-1.598014,11,20.615932
-5.028165,15,20.639577
3.103971,12,20.653549
-5.694744,12,20.669697
3.313582,10,20.68164
-8.530028,12,20.686228
1.221399,11,20.707889
-4.415549,15,20.720609
7.876445,12,20.720609
2.886196,9,20.736577
-4.681672,12,20.757555
0.99503,10,20.769531
-4.804791,12,20.785653
1.582431,10,20.795691
0.89945,12,20.80785
-2.832258,14,20.819528
0.772256,11,20.840056
-0.985438,12,20.852302
-0.335881,11,20.857861
0.921591,14,20.869828
1.312515,12,20.886219
-1.772613,12,20.907997
-4.061245,11,20.919968
-5.564538,14,20.93616
9.211157,12,20.953581
2.007189,12,20.963942
1.703032,8,20.969463
-6.101977,12,20.98614
3.899472,11,20.98614
2.482882,11,21.011592
3.073902,13,21.01948
-5.230774,10,21.036118
-4.821335,11,21.05989
2.784171,11,21.069434
-2.829148,12,21.084433
1.271118,10,21.086244
1.181143,10,21.105663
-4.205381,10,21.114074
-4.439398,12,21.12446
0.237853,13,21.141065
-3.783143,12,21.158283
-4.765676,11,21.168435
2.355371,11,21.169466
-3.557574,13,21.186025
-7.557831,11,21.202774
-6.73477,11,21.207844
-4.659739,11,21.219364
1.785999,11,21.219364
-5.150429,13,21.236174
5.061689,12,21.258061
-5.435378,12,21.270242
-4.546499,14,21.292425
3.437242,11,21.303265
10.019847,12,21.307921
1.92293,11,21.319462
0.174726,12,21.336286
2.897361,13,21.336286
2.913476,11,21.357901
-6.111839,10,21.369521
4.030559,12,21.380837
3.389313,12,21.387213
-3.591427,12,21.4081
-4.223834,10,21.419448
0.75445,13,21.435641
-6.045713,10,21.436192
3.260349,12,22.378673
3.305867,10,22.393381
7.82267,12,22.408661
-0.059346,14,22.431454
1.932126,13,22.449131
-0.466948,11,22.464037
1.994518,11,22.479413
