episode,deliveries_completed,fuel_used,steps_taken,reward
586,0,17.034,10,-5.247
587,0,14.827,9,3.395
588,0,16.641,10,3.698
589,0,16.857,9,-1.565
590,0,18.062,10,0.203
591,0,14.599,8,-0.814
592,0,15.826,9,5.284
593,1,18.003,14,26.783
594,0,14.129,9,-6.688
595,0,15.32,9,-6.854
596,1,16.357,12,17.436
597,0,16.218,9,-12.557
598,0,18.679,12,-2.983
599,0,12.031,6,-2.305
600,0,16.061,11,-9.619
601,0,17.181,11,-4.293
602,3,14.68,8,82.682
603,1,16.674,11,21.143
604,0,15.875,9,0.109
605,0,17.613,11,-7.236
606,1,16.064,9,16.794
607,0,13.695,9,-1.345
608,0,14.628,9,-1.739
609,0,14.493,10,0.613
610,1,17.904,11,13.361
611,0,15.827,9,0.283
612,0,13.825,10,5.949
613,0,18.544,11,6.211
614,0,13.037,7,-4.854
615,0,17.588,11,-2.12
616,0,19.452,13,-6.906
617,0,13.612,9,-4.222
618,0,18.285,12,-0.856
619,1,16.017,10,11.101
620,0,14.337,8,-8.045
621,0,14.243,10,4.435
622,0,16.273,9,-4.41
623,0,13.76,8,-5.641
624,0,14.402,9,3.678
625,1,13.216,7,17.493
626,0,13.483,7,2.957
627,2,17.031,10,34.225
628,0,19.116,12,-3.512
629,0,16.841,11,2.094
630,0,18.043,12,-2.92
631,0,17.814,12,7.046
632,0,15.845,10,-5.857
633,0,16.098,9,1.156
634,0,12.621,6,-3.81
635,0,17.617,11,-2.273
636,0,16.073,10,-3.007
637,0,18.472,10,-0.864
638,0,14.398,10,-7.329
639,1,18.841,11,11.246
640,0,17.734,10,-2.454
641,0,16.973,12,-4.23
642,1,17.099,10,16.007
643,0,14.195,9,4.68
644,0,13.968,7,-2.118
645,1,17.639,11,13.347
646,0,18.965,11,-2.046
647,0,17.216,11,-0.944
648,0,16.932,10,4.229
649,1,16.645,10,16.102
650,0,16.909,10,3.709
651,0,18.724,13,-4.958
652,1,15.799,9,13.078
653,0,18.309,12,-8.539
654,1,15.288,9,14.812
655,0,13.025,8,-0.085
656,1,17.526,10,21.732
657,0,14.211,9,-5.371
658,0,12.841,8,3.553
659,0,15.235,9,-1.974
660,0,13.807,8,4.579
661,0,16.355,10,-2.113
662,0,19.392,11,0.239
663,0,17.014,11,-4.695
664,0,15.419,9,-5.816
665,1,14.726,9,11.288
666,0,12.632,7,-6.47
667,0,17.031,10,4.046
668,1,15.371,8,13.807
669,0,16.982,10,1.673
670,0,17.397,9,0.503
671,0,13.63,8,-4.248
672,0,15.567,9,1.193
673,1,14.591,9,17.114
674,0,16.717,9,4.842
675,0,15.084,11,6.035
676,2,16.977,11,24.791
677,1,14.974,9,16.966
678,0,16.773,9,5.876
679,0,19.099,12,-4.821
680,0,13.718,10,-4.844
681,1,19.449,11,15.55
682,0,18.072,10,-10.525
683,1,16.335,9,13.44
684,0,15.9,9,-4.486
685,0,15.978,10,6.734
686,0,14.767,9,4.78
687,0,12.496,9,-2.3
688,0,16.55,10,4.007
689,0,14.047,9,3.116
690,0,17.203,11,3.0
691,0,13.889,8,-6.346
692,0,16.569,9,2.335
693,0,16.592,10,-0.377
694,1,15.445,10,6.787
695,0,18.827,11,-10.757
696,0,13.632,9,-10.924
697,0,13.01,8,2.141
698,0,12.696,7,-4.82
699,1,16.476,9,15.754
700,1,17.45,11,10.94
701,0,16.77,11,5.088
702,1,13.39,9,16.816
703,0,12.634,8,2.178
704,0,17.215,11,4.271
705,1,16.175,12,10.563
706,0,16.932,11,1.55
707,0,19.534,11,3.739
708,0,15.151,9,-2.476
709,1,16.048,11,20.994
710,1,19.215,11,15.966
711,1,17.885,10,18.439
712,0,15.066,9,-1.728
713,1,18.389,11,6.782
714,0,12.159,8,3.321
715,1,16.439,9,13.823
716,0,15.07,9,-3.405
717,0,16.228,11,-9.397
718,0,18.613,9,-0.213
719,0,18.639,10,1.88
720,0,16.677,11,9.382
721,1,17.256,11,16.896
722,0,16.521,9,2.211
723,1,16.496,10,5.332
724,0,16.364,10,-6.389
725,1,17.581,12,18.975
726,1,17.417,11,13.999
727,0,14.464,7,2.448
728,0,14.599,9,3.166
729,0,16.687,12,-6.99
730,0,15.068,9,5.36
731,2,17.096,11,30.494
732,0,14.971,7,-0.038
733,0,16.662,9,3.112
734,0,18.45,12,-4.058
735,0,18.29,13,7.588
736,0,15.394,9,3.085
737,1,14.587,8,16.961
738,0,15.17,8,-2.289
739,1,16.912,10,11.442
740,1,16.954,11,21.643
741,0,16.112,12,4.854
742,1,17.946,11,12.922
743,0,14.661,9,-2.762
744,0,16.898,10,-0.663
745,0,19.358,11,0.658
746,0,19.112,13,-1.286
747,0,14.835,8,-2.011
748,1,12.61,8,17.492
749,1,17.048,10,16.886
750,0,18.204,11,4.05
751,0,15.62,10,-0.337
752,0,12.892,7,0.372
753,0,13.553,8,0.734
754,0,14.484,9,-4.498
755,0,13.589,9,-1.635
756,1,14.874,9,18.091
757,0,16.871,8,1.584
758,0,17.452,10,2.386
759,0,17.501,12,4.428
760,0,13.716,8,-0.09
761,0,13.73,8,-1.327
762,2,17.475,10,29.657
763,0,14.681,10,-7.785
764,0,17.893,11,1.659
765,0,13.929,9,1.778
766,1,15.891,11,8.302
767,0,16.694,10,0.107
768,1,16.343,10,19.155
769,0,18.614,11,1.189
770,0,16.175,10,-4.417
771,0,13.551,8,-3.47
772,0,14.928,10,-2.033
773,1,16.45,11,17.697
774,0,18.313,12,2.076
775,0,13.432,8,-7.115
776,0,13.444,8,1.4
777,0,12.499,8,-3.365
778,0,14.396,9,1.482
779,1,17.82,10,15.598
780,1,13.111,7,15.391
781,0,19.137,12,7.258
782,0,14.894,9,5.067
783,0,12.032,7,0.158
784,0,16.599,9,-1.367
785,1,16.894,12,9.249
786,0,15.457,9,-3.92
787,1,14.041,11,10.923
788,0,16.283,9,1.893
789,0,18.032,11,-8.025
790,0,13.686,9,-0.091
791,1,16.979,10,15.941
792,0,14.488,10,7.068
793,0,14.617,10,-5.56
794,0,18.403,10,-5.44
795,0,16.126,9,-2.403
796,0,14.619,9,0.704
797,0,16.645,12,5.849
798,0,16.676,11,-9.19
799,1,18.582,10,18.324
800,0,18.77,10,1.195
801,0,14.07,8,-6.351
802,0,14.25,9,-4.0
803,0,13.533,7,2.197
804,0,15.615,10,2.504
805,0,15.555,10,7.361
