#{"t_start": 1774803535.6618693, "env_id": "None"}
r,l,t
-1.840089,9,6.543997
14.830702,11,6.558851
-3.496489,11,6.573878
3.725266,8,6.585968
-3.92502,12,6.60166
1.600789,9,6.61492
1.300012,8,6.626838
16.712116,8,6.635196
5.575479,13,7.959615
15.683724,11,7.971688
2.855125,11,7.984641
-1.747821,11,7.991071
0.540215,10,8.009328
19.255237,9,8.0228
15.628053,9,8.034932
-1.508564,11,8.050347
4.376037,10,8.063272
2.101269,11,8.077291
2.238649,9,8.085509
17.405265,9,8.100451
2.04136,8,8.111174
14.181406,10,8.12304
3.273465,8,8.132331
-8.283779,10,8.144782
-6.839219,9,8.160957
19.566442,10,8.178705
0.322974,12,8.194447
-3.561217,7,8.203722
0.440514,9,8.21314
0.995331,12,8.222563
3.465202,12,8.237084
0.500574,9,8.255867
16.214867,9,8.269612
4.011361,9,8.285032
15.953905,8,8.29741
-1.742801,9,8.315412
18.193847,11,8.330495
-0.243395,8,8.339095
-4.643654,12,8.35016
3.678142,11,8.363138
2.396423,9,8.373559
3.542501,8,8.382579
-2.099806,9,8.389081
1.173477,6,8.389081
3.776991,12,8.411449
4.490757,13,8.423366
-7.07685,10,8.431913
-2.844965,9,8.443041
1.519985,9,8.454621
-8.981757,10,8.468516
-2.162454,9,8.478411
6.792431,8,8.491397
-1.065226,11,8.505127
4.020743,10,8.515559
-4.763312,10,8.525707
10.139084,8,8.534755
2.667507,8,8.543188
8.543231,10,8.556446
-8.180299,9,8.564965
2.738758,9,8.575822
-2.766035,10,8.585493
2.667557,9,8.600884
25.669756,13,8.613359
7.666359,11,8.627469
32.635216,11,8.636683
-5.91994,13,8.654956
0.77222,10,8.664672
0.770385,11,8.671064
0.567802,11,8.692564
-10.111862,10,8.702256
-5.551764,7,8.714644
10.018358,8,8.723615
-11.21934,7,8.733005
10.995744,9,8.740134
2.056199,8,8.750233
3.064125,10,8.758867
0.606907,9,8.775211
17.411335,12,8.792996
-1.061167,8,8.804943
-5.997705,10,8.814964
-2.332279,7,8.826629
20.35938,11,8.841743
