deliveries_completed,fuel_used,steps_taken,reward
0,18.13847412763048,12,-11.770573797467437
1,18.78385341370151,13,-7.62283406590616
1,18.839991244160846,20,-12.408964550987896
0,19.65249410221033,21,-20.045766112256835
0,19.048194496481297,14,-10.204819449648129
1,19.769178515127297,13,-2.444242425330942
0,19.086628739943645,15,-10.053111598530375
1,17.574640933780454,12,-1.1824295199498565
0,19.643604711033127,18,-15.958809195639324
0,19.448260442507962,13,-5.6034883311599
0,18.199580321585152,16,-15.150474734194315
0,18.547545133044842,17,-18.004754513304484
1,19.293891799350938,13,-1.6738379044711031
0,19.880681374286613,11,-3.8325168619646703
1,19.2633233693263,13,-1.2275074461730284
0,19.08845634854032,13,-11.153294359390042
0,23.45757427552616,15,-10.318633276834817
0,19.45370621257822,15,-6.589819345793833
0,17.715659954149544,11,-6.530228282324059
0,17.92678048097669,10,-7.923194750133468
0,19.499136799160816,14,-6.558575966825186
0,18.470206542425267,11,-7.191469378778537
0,18.375111174853142,21,-20.68195984202132
0,19.153715323550642,19,-24.77403381926416
1,22.23548622941125,23,-14.024723732181524
0,19.859705888916466,12,-11.280419313427657
1,23.177327932562697,16,-5.412181517792279
0,19.383143119455386,18,-13.346976598854644
0,18.799158872863188,13,-8.62436461182233
0,19.104030043635007,13,-10.569065291272604
0,19.860166894842443,23,-19.058892538766443
0,19.28132771137698,11,-12.272581495673709
0,19.564656595180743,16,-13.156465659518073
0,17.7743268088013,16,-12.60794938291593
0,16.76150193481572,15,-10.556666895517372
0,18.65736149848815,12,-5.396252851884615
1,19.576675831452874,13,-3.7021163076812975
0,19.97181988585959,13,-8.155844275495065
0,17.526058365532947,13,-11.411268123462401
0,19.64926021311405,21,-20.80937474584741
0,19.167137609889966,14,-8.111162485525007
0,16.724839017798175,13,-9.153000603815617
0,19.920327911035177,17,-19.198759175807908
0,18.750166822397397,15,-10.51946540677575
0,19.756011010178653,14,-10.670049825553875
0,18.638485901855404,12,-7.32057497488993
1,19.792995070861174,13,-4.8542649336579275
1,18.408308115015952,13,-6.636582510065997
1,19.931386573031936,15,-7.032036106375214
0,18.465872259922232,21,-24.927103928028018
0,18.782472556149543,16,-11.886909542524059
0,19.84654056416628,15,-12.365170758452429
1,18.020684943161694,12,-1.1140715690058514
0,18.388333201713593,11,-7.0974956070804645
0,19.463011779039807,13,-11.190749902439991
0,19.189726808247848,14,-11.349489382860584
0,19.45370870808724,14,-10.054033157717829
1,18.993357483531014,14,0.5117668025748792
0,18.16433405184381,15,-8.96088212972039
0,19.268188673689643,14,-8.121267591904974
0,19.071753240351377,13,-4.151624048571147
0,18.59873132227709,11,-4.70432185676372
0,19.600605618890462,12,-7.1687228487981525
0,18.868364150146377,10,-7.281285139550648
0,18.3800616647703,12,-7.132454891013039
0,18.214316863653078,14,-9.515880410901318
0,17.84473703411439,13,-12.943135990320544
0,19.865934799144988,11,-6.5671101819503
0,19.613075639784938,15,-9.519969850887598
0,19.60503809788138,13,-8.810503809788136
0,19.213775168793077,15,-12.728103901583697
1,16.838053505068213,10,2.2912292229213698
1,19.07011950859761,12,-4.095909399931782
0,19.110313984878363,12,-10.441548100523637
0,19.5408586370956,13,-6.69853458824557
0,18.32581793848591,10,-5.227030518384602
0,17.99258255158206,14,-11.655984639862595
0,19.62962717081569,16,-18.68051706723524
1,18.29355880030231,12,-3.6238046045662404
0,18.633666682739054,13,-7.607815392809915
0,18.82928101708608,12,-4.091590388617713
0,17.301309920597618,11,-6.574579716595772
1,18.91934778656043,11,-1.2363835031920534
1,18.948980892965047,10,3.816204461631475
0,19.0024376524217,17,-13.94469248977818
0,19.65552261436165,15,-5.110000985972175
0,19.11235113539437,11,-6.755683838075447
0,19.004326672448833,16,-16.994881391780893
0,18.697473812828026,14,-8.064196105818812
0,18.913993538634806,12,-3.6858480783994905
1,18.89552429421319,12,-3.05058583349292
0,19.200856966658346,11,-5.000602398701634
1,18.20569849459357,15,-10.482572924149038
0,19.112409158015627,13,-9.655689640337574
1,19.867555942697585,18,-9.37565304334178
1,19.956994043866363,12,0.8154031465413407
0,18.324998544796966,14,-10.526948579015707
0,18.191632308004895,13,-7.977825517709595
0,19.440293177066785,14,-9.138478042242689
0,19.409373283577164,15,-15.057522007893304
0,18.691610114428563,12,-6.899677713478655
0,19.093856075966677,16,-10.003834332132678
0,19.712999601977675,14,-7.665748684733777
1,19.386330788253094,14,-0.7635985053971215
0,18.717733242671628,11,-7.952290026302963
1,22.960962476804067,20,-4.247271356920806
0,19.129106166543362,14,-7.107359341190345
1,19.37671949238293,14,-3.4987053533098935
1,18.9631947893084,15,-2.09749458817124
0,19.689568077147303,17,-11.01340553225074
1,18.96143751415067,14,-3.313468325233278
0,18.760361961920836,13,-5.120484920728095
0,19.761149288720834,14,-12.58477721578119
0,18.860366389714777,10,-8.108912488253678
0,18.481501369312884,16,-10.442598861467298
0,17.82402191653428,13,-7.026850916189438
0,18.907525168350286,14,-11.690752516835028
0,18.87645977253229,13,-7.632094701789239
0,18.113778489846645,11,-7.155826573520674
0,18.522253001418648,11,-6.196674024677874
0,19.669074652687268,14,-9.661356189804737
0,18.670130951925163,16,-11.697529797228317
0,18.60398130516097,12,-10.777952480669768
0,16.656671301943575,11,-8.010115854730367
1,19.721301166162743,18,-4.189454690434486
1,19.316246844721448,11,-3.170522133544165
0,19.704069565275955,12,-8.000923658563394
1,18.22453884408594,12,3.252580689019595
0,18.567081732738373,12,-7.387224875309637
0,19.203057775521334,11,-11.264754502088143
1,19.76260045101365,16,-4.937293449172966
1,18.607984521713583,12,2.714236121256832
0,19.206173568228472,11,-6.001134058858648
0,19.27677210628887,12,-3.2221259351648968
0,19.566378542271792,13,-4.937154556262978
1,19.810105371153078,11,-0.8821856463557101
1,18.45608078030908,14,-1.4345055271029281
1,17.92183508571576,15,-7.159508082389788
1,18.43655551566645,11,1.0890198746151416
0,18.938637712779006,11,-5.652526058187005
0,19.4001701654687,12,-7.340017016546869
